"from_doi","from_label","to_doi","to_label"
"10.1016/j.cjco.2025.02.012","Ahmed 2025","10.1136/openhrt-2023-002455","Lautrup 2023"
"10.12997/jla.2025.14.1.77","Ahn 2025","10.2196/40789","Aggarwal 2023"
"10.12997/jla.2025.14.1.77","Ahn 2025","10.2196/56930","Laymouna 2024"
"10.1016/bs.pbr.2025.08.003","Ali 2025","10.3389/fdgth.2024.1418695","Maher 2024"
"10.1016/j.joen.2025.04.015","Aljamani 2025","10.1186/s12911-024-02619-8","Dursun 2024"
"10.1016/j.joen.2025.04.015","Aljamani 2025","10.1016/j.ejwf.2024.09.004","Aziz 2024"
"10.1016/j.joen.2025.04.015","Aljamani 2025","10.1111/ipd.13283","Elkarmi 2024"
"10.3390/healthcare13040363","Amil 2025","10.1016/j.health.2022.100072","Montenegro 2022"
"10.3390/healthcare13040363","Amil 2025","10.2196/51361","Nguyen 2023"
"10.1016/j.cpcardiol.2024.102797","Anaya 2024","10.1016/j.jvir.2023.05.037","McCarthy 2023"
"10.3389/fpubh.2025.1709611","Angyal 2026","10.2196/40789","Aggarwal 2023"
"10.3389/fpubh.2025.1709611","Angyal 2026","10.2196/47479","Walker 2023"
"10.2196/56114","Anisha 2024","10.2196/42965","Calvo 2023"
"10.1007/s10916-025-02166-3","Anisha 2025","10.1109/ro-man57019.2023.10309459","Lima 2023"
"10.1007/s10916-025-02166-3","Anisha 2025","10.2196/56114","Anisha 2024"
"10.1016/j.cct.2026.108217","An 2026","10.1001/jamanetworkopen.2024.32143","Kaphingst 2024"
"10.4103/aca.aca_145_25","Asai 2026","10.1007/s44163-024-00189-2","Phillips 2024"
"10.1016/j.jpsychires.2025.11.039","Attanasio 2025","10.1038/s41746-023-00979-5","Li 2023"
"10.1055/a-2647-1210","Bautista 2025","10.1016/j.ijmedinf.2023.105219","Yun 2023"
"10.1055/a-2647-1210","Bautista 2025","10.1371/journal.pone.0296151","Choudhury 2024"
"10.1055/a-2647-1210","Bautista 2025","10.1016/j.ejca.2025.115274","Menz 2025"
"10.1111/nmo.70344","Bertin 2026","10.3390/healthcare11060887","Sallam 2023"
"10.1111/nmo.70344","Bertin 2026","10.2196/47479","Walker 2023"
"10.1007/s00431-026-07143-7","Aslihan 2026","10.1145/3589334.3645643","Jin 2024"
"10.1007/s00431-026-07143-7","Aslihan 2026","10.1111/ipd.13283","Elkarmi 2024"
"10.1007/s00431-026-07143-7","Aslihan 2026","10.1111/edt.13020","Güven 2024"
"10.1007/s00431-026-07143-7","Aslihan 2026","10.1038/s41598-025-94576-z","Terzi 2025"
"10.1007/s00431-026-07143-7","Aslihan 2026","10.1186/s12903-026-07751-7","Karadeniz 2026"
"10.1111/opo.13284","Biswas 2024","10.3390/healthcare11060887","Sallam 2023"
"10.1111/opo.13284","Biswas 2024","10.1111/opo.13207","Biswas 2023"
"10.1111/opo.13284","Biswas 2024","10.1016/j.xops.2023.100394","Tan 2023"
"10.1111/opo.13284","Biswas 2024","10.1016/j.jsurg.2023.11.019","Singer 2023"
"10.1016/j.ajhg.2022.05.001","Bombard 2022","10.1016/j.pec.2021.09.027","Siglen 2021"
"10.1016/j.contraception.2025.111199","Brennan 2025","10.2196/29969","Wang 2022"
"10.1016/j.contraception.2025.111199","Brennan 2025","10.2196/46758","Mills 2023"
"10.1016/j.contraception.2025.111199","Brennan 2025","10.2196/47217","Xue 2023"
"10.1016/j.contraception.2025.111199","Brennan 2025","10.2196/47551","Li 2023"
"10.1016/j.contraception.2025.111199","Brennan 2025","10.1371/journal.pdig.0000492","Nadarzynski 2024"
"10.1016/j.contraception.2025.111199","Brennan 2025","10.1177/20552076241308994","Bull 2024"
"10.1016/j.ijmedinf.2025.105948","Büker 2025","10.2196/40789","Aggarwal 2023"
"10.1016/j.ijmedinf.2025.105948","Büker 2025","10.1097/md.0000000000038352","Arça 2024"
"10.1016/j.ijmedinf.2025.105948","Büker 2025","10.1016/j.oooo.2025.01.001","Helvacıoğlu-Yiğit 2025"
"10.1016/j.ijmedinf.2025.105948","Büker 2025","10.1111/jerd.13447","Özdemir 2025"
"10.1007/s10067-025-07771-8","Çelik 2025","10.1007/s00464-024-10739-5","Ghanem 2024"
"10.1007/s10067-025-07771-8","Çelik 2025","10.1097/md.0000000000038352","Arça 2024"
"10.1002/ksa.70247","Çakmur 2025","10.5435/jaaos-d-24-01274","Ramlawi 2025"
"10.1002/ksa.70247","Çakmur 2025","10.3390/healthcare13212670","Koluman 2025"
"10.1097/scs.0000000000012415","Şen 2026","10.2196/60291","Yau 2024"
"10.1097/scs.0000000000012415","Şen 2026","10.1016/j.oooo.2025.01.001","Helvacıoğlu-Yiğit 2025"
"10.1097/scs.0000000000012415","Şen 2026","10.1038/s41598-025-94576-z","Terzi 2025"
"10.1097/scs.0000000000012415","Şen 2026","10.1186/s12903-025-05965-9","Esmailpour 2025"
"10.1097/scs.0000000000012415","Şen 2026","10.1016/j.ijmedinf.2025.105948","Büker 2025"
"10.1097/scs.0000000000012415","Şen 2026","10.1186/s12903-025-06267-w","Özcivelek 2025"
"10.1093/oncolo/oyaf038","Chen 2025","10.2196/47479","Walker 2023"
"10.1093/oncolo/oyaf038","Chen 2025","10.1016/j.eururo.2023.07.004","Musheyev 2023"
"10.1093/oncolo/oyaf038","Chen 2025","10.1007/s00345-023-04563-0","Szczesniewski 2023"
"10.1093/oncolo/oyaf038","Chen 2025","10.1097/coc.0000000000001050","Janopaul‐Naylor 2023"
"10.1093/oncolo/oyaf038","Chen 2025","10.3389/fonc.2023.1256459","Kuşçu 2023"
"10.1093/oncolo/oyaf038","Chen 2025","10.1002/lary.31243","Lee 2023"
"10.2196/66403","Chen 2025","10.2196/32578","Chew 2022"
"10.2196/66403","Chen 2025","10.2196/43227","Han 2023"
"10.1136/bjo-2023-324533","Cheong 2024","10.1093/asj/sjad140","Seth 2023"
"10.2196/60205","Choi 2025","10.1016/j.pec.2021.09.027","Siglen 2021"
"10.2196/60205","Choi 2025","10.2196/37882","Mash 2022"
"10.2196/60205","Choi 2025","10.2196/41017","Biro 2023"
"10.2196/60205","Choi 2025","10.2196/40789","Aggarwal 2023"
"10.2196/60205","Choi 2025","10.2196/45894","Han 2023"
"10.2196/60205","Choi 2025","10.1016/j.ipm.2023.103444","Wang 2023"
"10.2196/63058","Choo 2025","10.2196/49324","Wilhelm 2023"
"10.1038/s41443-025-01112-8","Clark 2025","10.1007/s10916-024-02056-0","Şahin 2024"
"10.1038/s41443-025-01112-8","Clark 2025","10.1007/s11255-025-04461-x","Anıl 2025"
"10.1055/a-2769-1301","Clement 2026","10.1002/lary.31243","Lee 2023"
"10.3389/fdgth.2025.1560580","Coelho 2025","10.2196/40789","Aggarwal 2023"
"10.1111/ans.70053","COLLIN 2025","10.1177/17085381241240550","Chervonski 2024"
"10.1016/j.vaccine.2024.126559","Cosma 2024","10.2196/43639","Kittipimpanon 2022"
"10.1016/j.vaccine.2024.126559","Cosma 2024","10.2196/39045","Pérez-Ramos 2022"
"10.1016/j.vaccine.2024.126559","Cosma 2024","10.1038/s41746-023-00843-6","Lee 2023"
"10.1016/j.vaccine.2024.126559","Cosma 2024","10.2196/42758","Passanante 2023"
"10.1016/j.vaccine.2024.126559","Cosma 2024","10.3390/vaccines12070708","Li 2024"
"10.1016/j.japh.2024.102119","Covington 2024","10.1016/j.jvir.2023.05.037","McCarthy 2023"
"10.1016/j.japh.2024.102119","Covington 2024","10.1016/j.eururo.2023.07.004","Musheyev 2023"
"10.1136/bmjopen-2025-099241","Groef 2025","10.1186/s12912-023-01243-7","Tawfik 2023"
"10.1007/s00405-025-09810-1","Morais 2025","10.2196/47551","Li 2023"
"10.1007/s00405-025-09810-1","Morais 2025","10.1016/j.oraloncology.2024.106701","Dhane 2024"
"10.1007/s00405-025-09810-1","Morais 2025","10.2196/56930","Laymouna 2024"
"10.1186/s12894-025-02033-w","Değer 2026","10.1038/s41391-024-00826-y","Hershenhouse 2024"
"10.1186/s12894-025-02033-w","Değer 2026","10.1007/s11255-025-04461-x","Anıl 2025"
"10.1186/s12894-025-02033-w","Değer 2026","10.1007/s10916-025-02178-z","Yıldız 2025"
"10.1186/s12894-025-02033-w","Değer 2026","10.1016/j.ijmedinf.2025.105948","Büker 2025"
"10.1186/s12894-025-02033-w","Değer 2026","10.1038/s41443-025-01098-3","Kayra 2025"
"10.1007/s40368-025-01012-x","Dermata 2025","10.3390/healthcare11060887","Sallam 2023"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.1016/j.jvir.2023.05.037","McCarthy 2023"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.1080/08164622.2023.2298812","Yılmaz 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.1097/md.0000000000038352","Arça 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.3390/diseases12080185","Acharya 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.1097/md.0000000000039305","Hancı 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.1186/s12894-024-01570-0","Alasker 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.2196/60291","Yau 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.1136/bmjophth-2024-001824","Azzopardi 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.3390/jcm13216512","Reyhan 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.1111/edt.13020","Güven 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.1007/s12020-024-04121-7","Güneşli 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.1097/ico.0000000000003747","Nichani 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.1016/j.yebeh.2024.110193","Silva 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.1016/j.jposna.2024.100135","Nian 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.3748/wjg.v31.i3.101092","Li 2024"
"10.1186/s12911-025-03035-2","DeTemple 2025","10.1097/bpo.0000000000002890","Nian 2025"
"10.1111/ans.70198","Dinçer 2025","10.1016/j.arthro.2024.08.036","Özbek 2024"
"10.1590/1678-7757-2025-0321","Dufey-Portilla 2025","10.11607/prd.6925","Battista 2023"
"10.1016/j.puhe.2025.105876","Dyda 2025","10.1016/j.iotcps.2023.04.003","Ray 2023"
"10.1016/j.puhe.2025.105876","Dyda 2025","10.1080/17538068.2023.2277489","Dunn 2023"
"10.3389/fpubh.2026.1755672","Feng 2026","10.3389/fpubh.2025.1689911","Du 2025"
"10.2196/79850","Feng 2025","10.1016/j.jad.2022.09.028","Martinengo 2022"
"10.2196/79850","Feng 2025","10.1186/s12912-023-01243-7","Tawfik 2023"
"10.2196/79850","Feng 2025","10.2196/39934","Matheson 2023"
"10.2196/79850","Feng 2025","10.2196/47960","Karkosz 2023"
"10.2196/79850","Feng 2025","10.1192/bjo.2023.573","Selaskowski 2023"
"10.2196/79850","Feng 2025","10.2196/50132","Hauser-Ulrich 2023"
"10.2196/79850","Feng 2025","10.1038/s41746-023-00979-5","Li 2023"
"10.2196/79850","Feng 2025","10.2196/50454","Schillings 2024"
"10.2196/79850","Feng 2025","10.2196/51716","Chan 2024"
"10.2196/79850","Feng 2025","10.1038/s44184-024-00097-4","Siddals 2024"
"10.1111/jsr.14210","Garbarino 2024","10.2196/55762","Bragazzi 2024"
"10.3390/healthcare11182518","Valencia 2023","10.3390/jpm13091363","Valencia 2023"
"10.1093/ced/llae119","Göktaş 2024","10.1016/j.jaip.2023.05.042","Göktaş 2023"
"10.1093/ced/llae119","Göktaş 2024","10.1016/j.jaad.2023.05.088","Chen 2023"
"10.1093/ced/llae119","Göktaş 2024","10.2196/49324","Wilhelm 2023"
"10.1007/s00345-025-06019-z","Goudrar 2025","10.1016/j.urology.2023.07.010","Whiles 2023"
"10.1007/s00345-025-06019-z","Goudrar 2025","10.1007/s00345-023-04563-0","Szczesniewski 2023"
"10.1007/s00345-025-06019-z","Goudrar 2025","10.1016/j.urology.2023.11.042","Halawani 2024"
"10.1007/s00345-025-06019-z","Goudrar 2025","10.1089/end.2023.0571","Javid 2024"
"10.1007/s00345-025-06019-z","Goudrar 2025","10.1089/end.2023.0484","Musheyev 2024"
"10.1007/s00345-025-06019-z","Goudrar 2025","10.1136/bmjophth-2024-001824","Azzopardi 2024"
"10.2196/63677","Grilo 2025","10.2196/47479","Walker 2023"
"10.2196/63677","Grilo 2025","10.1007/s00345-023-04563-0","Szczesniewski 2023"
"10.2196/63677","Grilo 2025","10.3389/fonc.2023.1256459","Kuşçu 2023"
"10.1177/14799731261443321","Güçsav 2026","10.3390/healthcare11060887","Sallam 2023"
"10.1177/14799731261443321","Güçsav 2026","10.1093/pubmed/fdad219","Høj 2023"
"10.1097/md.0000000000038009","Gül 2024","10.1016/j.jvir.2023.05.037","McCarthy 2023"
"10.1097/md.0000000000038009","Gül 2024","10.1016/j.eururo.2023.07.004","Musheyev 2023"
"10.1097/md.0000000000038009","Gül 2024","10.1007/s00345-023-04563-0","Szczesniewski 2023"
"10.1016/j.fjurol.2025.103062","Gümüş 2025","10.2196/47479","Walker 2023"
"10.1016/j.fjurol.2025.103062","Gümüş 2025","10.1016/j.eururo.2023.07.004","Musheyev 2023"
"10.1016/j.fjurol.2025.103062","Gümüş 2025","10.1007/s10916-024-02056-0","Şahin 2024"
"10.1111/edt.13020","Güven 2024","10.1016/j.jormas.2023.101471","Balel 2023"
"10.1111/edt.13020","Güven 2024","10.1001/jamaoncol.2023.2947","Pan 2023"
"10.1111/edt.13020","Güven 2024","10.1007/s00464-024-10739-5","Ghanem 2024"
"10.1111/edt.13020","Güven 2024","10.3390/biomedinformatics4010047","Chow 2024"
"10.1111/edt.13020","Güven 2024","10.6004/jnccn.2023.7334","Abreu 2024"
"10.1097/md.0000000000039305","Hancı 2024","10.1016/j.jvir.2023.05.037","McCarthy 2023"
"10.1097/md.0000000000039305","Hancı 2024","10.2196/47479","Walker 2023"
"10.1097/md.0000000000039305","Hancı 2024","10.1016/j.eururo.2023.07.004","Musheyev 2023"
"10.1097/md.0000000000039305","Hancı 2024","10.1097/bsd.0000000000001582","Nian 2024"
"10.1097/md.0000000000039305","Hancı 2024","10.1080/08820538.2024.2326058","Cohen 2024"
"10.1097/md.0000000000039305","Hancı 2024","10.1097/md.0000000000038009","Gül 2024"
"10.1097/md.0000000000039305","Hancı 2024","10.1097/md.0000000000038352","Arça 2024"
"10.1097/md.0000000000039305","Hancı 2024","10.1053/j.jfas.2024.06.009","Casciato 2024"
"10.2196/43227","Han 2023","10.2196/32578","Chew 2022"
"10.1111/dar.70068","Harding 2025","10.2196/40789","Aggarwal 2023"
"10.1111/dar.70068","Harding 2025","10.2196/43165","Monteiro 2023"
"10.1111/dar.70068","Harding 2025","10.3390/healthcare11060887","Sallam 2023"
"10.1111/dar.70068","Harding 2025","10.2196/43227","Han 2023"
"10.1111/dar.70068","Harding 2025","10.1145/3544548.3581503","Jo 2023"
"10.1111/dar.70068","Harding 2025","10.1080/17538068.2023.2277489","Dunn 2023"
"10.1111/dar.70068","Harding 2025","10.2196/56930","Laymouna 2024"
"10.1080/02770903.2025.2495729","Høj 2025","10.1093/pubmed/fdad219","Høj 2023"
"10.1177/20552076251411287","Hou 2026","10.2196/37882","Mash 2022"
"10.1177/20552076251411287","Hou 2026","10.1186/s12912-023-01243-7","Tawfik 2023"
"10.1177/20552076251411287","Hou 2026","10.3389/fdgth.2023.1149374","Bruijnes 2023"
"10.1177/20552076251411287","Hou 2026","10.2196/47217","Xue 2023"
"10.1177/20552076251411287","Hou 2026","10.2196/50132","Hauser-Ulrich 2023"
"10.1177/20552076251411287","Hou 2026","10.1016/j.euros.2024.08.022","Baumgärtner 2024"
"10.1177/20552076251411287","Hou 2026","10.2196/64406","Chow 2024"
"10.1177/20552076251411287","Hou 2026","10.3390/info16070549","Chow 2025"
"10.2196/74299","Ho 2025","10.2196/43068","Fournier-Tombs 2023"
"10.2196/74299","Ho 2025","10.1177/20552076231183542","Coghlan 2023"
"10.2196/74299","Ho 2025","10.3390/info16010011","Manole 2024"
"10.2196/48966","Hristidis 2023","10.3390/healthcare11060887","Sallam 2023"
"10.2196/48966","Hristidis 2023","10.1016/j.iotcps.2023.04.003","Ray 2023"
"10.2196/85475","Huang 2026","10.2196/40789","Aggarwal 2023"
"10.2196/85475","Huang 2026","10.1186/s12912-023-01243-7","Tawfik 2023"
"10.2196/85475","Huang 2026","10.3390/diseases12080185","Acharya 2024"
"10.1002/wps.21352","Hua 2025","10.1038/s41746-022-00560-6","Parmar 2022"
"10.1002/wps.21352","Hua 2025","10.1002/eat.23798","Shah 2022"
"10.1002/wps.21352","Hua 2025","10.2196/39934","Matheson 2023"
"10.1002/wps.21352","Hua 2025","10.2196/45894","Han 2023"
"10.1002/wps.21352","Hua 2025","10.1007/s41347-023-00315-4","Sanabria 2023"
"10.1002/wps.21352","Hua 2025","10.1016/j.apmr.2023.04.023","Brinsley 2023"
"10.1002/wps.21352","Hua 2025","10.2196/47960","Karkosz 2023"
"10.1002/wps.21352","Hua 2025","10.1192/bjo.2023.573","Selaskowski 2023"
"10.1002/wps.21352","Hua 2025","10.1038/s41746-023-00979-5","Li 2023"
"10.1002/wps.21352","Hua 2025","10.3390/healthcare12010062","Rodríguez-Martínez 2023"
"10.1002/wps.21352","Hua 2025","10.1109/access.2023.3348783","Abilkaiyrkyzy 2024"
"10.1002/wps.21352","Hua 2025","10.3389/fpsyt.2023.1277756","Dergaa 2024"
"10.1002/wps.21352","Hua 2025","10.2196/49462","Chou 2024"
"10.1002/wps.21352","Hua 2025","10.2196/50454","Schillings 2024"
"10.1002/wps.21352","Hua 2025","10.1080/0144929x.2024.2332934","Boian 2024"
"10.1002/wps.21352","Hua 2025","10.1002/capr.12759","Maurya 2024"
"10.1002/wps.21352","Hua 2025","10.2196/48129","Zsoldos 2024"
"10.1002/wps.21352","Hua 2025","10.1002/eat.24260","Fitzsimmons‐Craft 2024"
"10.1002/wps.21352","Hua 2025","10.1089/cyber.2024.0199","Yeo 2024"
"10.1002/wps.21352","Hua 2025","10.1038/s44184-024-00097-4","Siddals 2024"
"10.1002/wps.21352","Hua 2025","10.2196/53829","Foran 2024"
"10.1002/wps.21352","Hua 2025","10.1007/s12144-025-07359-0","Yeh 2025"
"10.1177/20552076261451390","Hui 2026","10.1016/j.pec.2021.09.027","Siglen 2021"
"10.1177/20552076261451390","Hui 2026","10.1186/s12912-023-01243-7","Tawfik 2023"
"10.1177/20552076261451390","Hui 2026","10.2147/ijgm.s408208","Wang 2023"
"10.1177/20552076261451390","Hui 2026","10.2196/56628","Hindelang 2024"
"10.1177/20552076261451390","Hui 2026","10.3390/jpm14080877","Goumas 2024"
"10.1177/20552076261451390","Hui 2026","10.1016/j.ijrobp.2024.12.012","Lee 2024"
"10.1177/20552076261451390","Hui 2026","10.1007/s00520-024-09096-9","Lin 2024"
"10.1177/20552076261451390","Hui 2026","10.2196/69115","Wolff 2025"
"10.1177/20552076261451390","Hui 2026","10.2196/68426","Boie 2025"
"10.1177/20552076261451390","Hui 2026","10.1002/jgc4.70119","Siglen 2025"
"10.1080/0886022x.2025.2555686","Hu 2025","10.1136/openhrt-2023-002455","Lautrup 2023"
"10.1080/0886022x.2025.2555686","Hu 2025","10.2196/53225","Sezgın 2024"
"10.1080/0886022x.2025.2555686","Hu 2025","10.1136/bmjhci-2023-100985","Lin 2024"
"10.1080/0886022x.2025.2555686","Hu 2025","10.1609/hcomp.v12i1.31597","Bo 2024"
"10.1080/0886022x.2025.2555686","Hu 2025","10.1053/j.jrn.2025.01.004","Bingöl 2025"
"10.1136/bmjopen-2025-103857","Hu 2025","10.1038/s41746-023-00843-6","Lee 2023"
"10.1186/s40900-025-00804-1","Jaiswal 2025","10.1038/s41746-022-00560-6","Parmar 2022"
"10.1186/s40900-025-00804-1","Jaiswal 2025","10.2196/40789","Aggarwal 2023"
"10.1186/s40900-025-00804-1","Jaiswal 2025","10.2196/54668","Ma 2023"
"10.1186/s40900-025-00804-1","Jaiswal 2025","10.1371/journal.pdig.0000492","Nadarzynski 2024"
"10.2196/76968","Jiang 2025","10.2196/38525","Kocaballı 2022"
"10.2196/76968","Jiang 2025","10.2196/40789","Aggarwal 2023"
"10.2196/76968","Jiang 2025","10.1186/s12912-023-01243-7","Tawfik 2023"
"10.2196/76968","Jiang 2025","10.2196/42238","Noh 2023"
"10.2196/76968","Jiang 2025","10.2147/ijgm.s408208","Wang 2023"
"10.2196/76968","Jiang 2025","10.2196/48168","Jabir 2023"
"10.2196/76968","Jiang 2025","10.7759/cureus.58936","Sharma 2024"
"10.2196/76968","Jiang 2025","10.3390/jpm14080877","Goumas 2024"
